LAT,LON,YEAR,MO,DY,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
-37.82549,144.98161,2016,8,11,81.23,4.44,12.13,4.4,7.48,5.03,2.59,8.7,6.96,7.06,4.67
-37.82549,144.98161,2016,8,12,82.78,4.96,11.84,3.68,7.75,6.92,3.95,11.43,9.06,9.02,6.51
-37.82549,144.98161,2016,8,13,85.09,6.64,13.56,5.57,9.01,5.19,3.21,8.21,6.26,6.87,4.46
-37.82549,144.98161,2016,8,14,82.53,6.87,15.04,5.97,9.7,5.08,2.91,6.61,4.74,5.92,3.74
-37.82549,144.98161,2016,8,15,83.52,6.68,15.46,4.6,9.32,4.9,3.25,7.65,5.44,6.37,4.07
-37.82549,144.98161,2016,8,16,77.54,6.56,15.91,5.68,10.31,7.83,4.7,11.36,8.64,9.35,6.32
-37.82549,144.98161,2016,8,17,85.91,7.74,13.73,6.48,10,2.94,2.09,8.53,5.54,4.64,3.13
-37.82549,144.98161,2016,8,18,78.03,8.55,17.96,6.17,12.28,4.88,3.06,15.28,10.62,10.66,7.44
-37.82549,144.98161,2016,8,19,81.32,7.17,14.23,5.99,10.27,6.07,4.32,15.64,10.99,9.45,6.62
-37.82549,144.98161,2016,8,20,82.72,4.6,10.9,4.78,7.34,7.18,3.97,10.09,8.04,8.8,6.23
-37.82549,144.98161,2016,8,21,88.55,7.21,11.57,6.74,9,5.48,3.19,8.9,6.15,7.46,4.96
-37.82549,144.98161,2016,8,22,82.93,5.94,12.94,5.3,8.7,1.99,1.21,5.48,4.29,3.9,2.67
-37.82549,144.98161,2016,8,23,83.62,5.17,12.08,4.65,7.76,2.76,1.9,4.63,3.14,3.49,2.46
-37.82549,144.98161,2016,8,24,85.42,4.95,11.03,4.84,7.21,1.89,1.43,5.53,4.6,3.9,2.81
-37.82549,144.98161,2016,8,25,87.76,5.12,10.66,4.65,7,5.16,3.02,7.05,5.82,6.17,4.22
-37.82549,144.98161,2016,8,26,82.87,4.8,12.31,4.48,7.55,3.79,2.17,6.23,4.69,5.04,3.46
-37.82549,144.98161,2016,8,27,76.58,4.54,13.55,3.78,8.43,6.29,3.53,9.34,7.34,7.99,5.27
-37.82549,144.98161,2016,8,28,70.03,5.31,16.67,6.52,10.59,3.08,1.7,9.18,5.91,6.09,4.02
-37.82549,144.98161,2016,8,29,72.97,5.72,16.29,5.2,10.38,5.7,3.47,8.4,6.45,7.24,4.59
-37.82549,144.98161,2016,8,30,81.39,7.68,14.83,8.12,10.81,6.45,3.62,10.79,7.58,8.72,5.83
-37.82549,144.98161,2016,8,31,85.15,9.83,16.3,9.52,12.25,4.95,2.6,8.61,6.22,6.75,4.26
-37.82549,144.98161,2016,9,1,88.75,8.38,14.41,7.3,10.14,1.09,0.9,4.75,2.82,3.15,2.1
-37.82549,144.98161,2016,9,2,90.72,8.03,12.42,7.13,9.46,3.04,2.1,6.38,4.69,4.72,3.46
-37.82549,144.98161,2016,9,3,81.66,6.97,13.54,7.99,9.98,4.96,2.69,7.86,6.16,6.72,4.85
-37.82549,144.98161,2016,9,4,82.99,7.59,15.34,5.69,10.37,5.68,2.96,7.22,5.56,6.5,4.22
-37.82549,144.98161,2016,9,5,83.65,9.01,16.88,7.01,11.69,1.73,1.07,6.33,4.32,4.34,2.94
-37.82549,144.98161,2016,9,6,83.88,9.57,18.47,7.06,12.22,1.5,1.24,5.21,3.82,3.8,2.53
-37.82549,144.98161,2016,9,7,83.17,9.71,17.75,7.56,12.48,1.87,1.28,8.43,6.49,5.89,3.88
-37.82549,144.98161,2016,9,8,77.44,10.87,19.47,10.31,14.79,8.61,5.04,13.35,9.91,10.88,7.47
-37.82549,144.98161,2016,9,9,89.8,12.1,15.16,11.23,13.74,0.27,0.17,12.76,8.77,7.67,5.32
-37.82549,144.98161,2016,9,10,83.53,7.88,13.9,7.02,10.56,2.47,1.67,9.24,7.19,6.53,4.93
-37.82549,144.98161,2016,9,11,84.47,7.32,14.21,5.23,9.84,3.63,2.36,6.98,4.42,5.27,3.5
-37.82549,144.98161,2016,9,12,91.79,6.98,9.74,6.93,8.23,1.68,1.53,5.36,4.09,3.53,2.58
-37.82549,144.98161,2016,9,13,93.81,8.76,12.76,6.77,9.78,2.75,2.27,7.9,5.33,5.46,3.8
-37.82549,144.98161,2016,9,14,84.77,7.72,12.61,6.69,10.24,5.96,4.14,11.11,8.77,8.34,6.06
-37.82549,144.98161,2016,9,15,88.02,7.04,13.58,5.68,8.96,4.71,2.97,9.03,7.3,6.82,4.8
-37.82549,144.98161,2016,9,16,80.64,5.89,14.12,4.55,9.05,3.75,2.61,6.84,4.51,5.15,3.4
-37.82549,144.98161,2016,9,17,74.8,7.85,17.19,8,12.23,7.36,3.95,9.92,7.64,8.49,5.68
-37.82549,144.98161,2016,9,18,85.96,7.04,11.28,6.7,9.31,3.45,2.22,8.75,5.6,5.97,4.16
-37.82549,144.98161,2016,9,19,80.17,6.05,14.18,6.03,9.29,2.02,1.6,6.21,4.08,4.47,2.89
-37.82549,144.98161,2016,9,20,76.09,6.46,16.51,4.94,10.54,5.81,3.13,9.57,7.62,7.45,4.99
-37.82549,144.98161,2016,9,21,84.29,7.7,13.89,8.23,10.24,1.87,1.14,7.98,6.22,5.73,3.91
-37.82549,144.98161,2016,9,22,86.47,7.47,12.65,7.19,9.62,5.52,3.14,8.5,7.09,7.54,5.63
-37.82549,144.98161,2016,9,23,82.93,8.04,16.61,6.29,10.88,1.44,0.72,5.29,3.05,3.08,2.02
-37.82549,144.98161,2016,9,24,79.9,7.94,16.78,6.95,11.29,5.19,2.95,9.53,7.33,6.85,4.59
-37.82549,144.98161,2016,9,25,76.1,5.74,13.44,6.62,9.79,1.23,0.89,7.53,5.86,5.33,3.86
-37.82549,144.98161,2016,9,26,73.74,5.61,14.63,6.07,10.1,1.76,1.28,7.23,5.06,4.9,3.42
-37.82549,144.98161,2016,9,27,77.94,5.7,14.18,4.58,9.38,2.09,1.32,6.96,5.75,5.02,3.55
-37.82549,144.98161,2016,9,28,74.59,7.19,16.39,6.01,11.56,4.5,2.84,13.61,9.45,8.16,5.77
-37.82549,144.98161,2016,9,29,80.5,6.48,11.78,6.79,9.76,7.4,5.28,13.58,9.3,9.96,7.39
-37.82549,144.98161,2016,9,30,85.66,6.72,12.54,6.02,8.98,2.18,1.47,6.68,4.72,4.1,2.87
-37.82549,144.98161,2016,10,1,81.82,8.36,14.92,7.6,11.36,6.23,3.44,10.8,8.42,8.66,6.08
-37.82549,144.98161,2016,10,2,73.19,8.77,19.76,7,13.69,7.43,4.41,16.72,12.73,12.54,9.1
-37.82549,144.98161,2016,10,3,82.79,6.56,11.95,7,9.36,6.22,4.12,13.75,11,10.68,7.92
-37.82549,144.98161,2016,10,4,82.32,6.3,12.66,7.03,9.21,10.5,7.04,14.36,11.1,12.16,8.99
-37.82549,144.98161,2016,10,5,81.66,6.78,14.36,5.19,9.86,7.23,4.26,12.9,9.82,9.9,6.8
-37.82549,144.98161,2016,10,6,77.09,10.92,21.88,7.58,15.06,5.82,3.84,13.49,9.48,9.38,6.33
-37.82549,144.98161,2016,10,7,68.1,9.75,20.18,9.88,15.73,4.42,3.34,14.09,9.78,9.09,6.5
-37.82549,144.98161,2016,10,8,69.73,5.54,15.47,6.24,10.83,2.14,1.38,6.16,5.15,4.39,3.18
-37.82549,144.98161,2016,10,9,74.15,9.25,22.31,8.13,14.04,5.17,2.78,21.38,16.33,13.08,9.44
-37.82549,144.98161,2016,10,10,69.22,5.11,13.72,6.44,10.57,8.55,5.21,11.17,8.9,9.82,6.92
-37.82549,144.98161,2016,10,11,76.28,5.18,13.47,5.52,9.14,6.07,3.43,9.71,6.7,7.72,5.49
-37.82549,144.98161,2016,10,12,84.52,6.68,12.99,6.19,9.21,6.64,3.62,8.37,6.79,7.51,5.28
-37.82549,144.98161,2016,10,13,70.19,3.76,14.31,3.92,8.9,4.1,2.62,6.4,4.45,4.99,3.58
-37.82549,144.98161,2016,10,14,68,5.77,19.39,3.74,11.58,2.4,1.72,8.02,4.82,4.83,3.22
-37.82549,144.98161,2016,10,15,64.1,7.93,19.71,8.38,14.71,8.11,4.84,15.65,10.91,11.9,8.38
-37.82549,144.98161,2016,10,16,68.47,8.98,19.78,8.59,14.81,5.58,3.88,16.17,11.41,10.86,7.86
-37.82549,144.98161,2016,10,17,74.17,6.75,15.85,7.37,11.19,5.27,3.63,10.94,8.15,8.37,6.16
-37.82549,144.98161,2016,10,18,76.66,6.02,14,5.69,10.01,6.42,3.93,10.85,8.56,8.45,6.2
-37.82549,144.98161,2016,10,19,67.14,3.76,15.32,3.91,9.58,0.86,0.3,7.06,4.72,4.47,3.04
-37.82549,144.98161,2016,10,20,58.95,5.04,19.2,5.61,13.03,6.38,3.55,16.13,11.98,10.82,7.81
-37.82549,144.98161,2016,10,21,74.45,6.95,14.6,6.29,11.4,4.07,2.66,17.31,12.86,9.15,6.72
-37.82549,144.98161,2016,10,22,84.69,5.7,10.81,5.57,8.13,8.29,5.31,13.21,10.59,10.18,7.59
-37.82549,144.98161,2016,10,23,75,5.05,13.22,6.26,9.26,6.31,3.49,8.34,6.97,7.58,5.54
-37.82549,144.98161,2016,10,24,72.85,6.98,17.4,6.84,11.74,0.92,0.52,6.17,3.42,2.95,1.93
-37.82549,144.98161,2016,10,25,64.79,8.29,21.55,7.55,14.94,5.61,2.8,12.9,9.92,9.22,6.11
-37.82549,144.98161,2016,10,26,77.36,9.21,18.55,7.67,13.21,3.74,2.26,7.33,6.18,5.43,3.64
-37.82549,144.98161,2016,10,27,70.17,5.28,15,6.2,10.53,5.4,3.13,7.79,6.47,6.75,4.86
-37.82549,144.98161,2016,10,28,68.4,5.08,17.46,4.85,10.67,1.24,1.22,5.89,4.07,3.7,2.67
-37.82549,144.98161,2016,10,29,66.08,8,22.24,6.51,14.3,1.54,1.27,8.31,4.34,4.34,2.75
-37.82549,144.98161,2016,10,30,62.06,7.65,22.07,6.88,15.22,8.57,4.6,15.6,11.95,12.62,9.02
-37.82549,144.98161,2016,10,31,65.01,4.1,15.51,5.72,10.48,4.99,2.69,10.01,7.28,7.91,5.65
-37.82549,144.98161,2016,11,1,72.97,6.46,16.14,5.99,11.17,5.48,3.11,8.89,7.15,7.19,4.99
-37.82549,144.98161,2016,11,2,72.82,7.11,17.62,6.24,11.85,4.7,2.74,7.45,6.05,6.03,4.25
-37.82549,144.98161,2016,11,3,69.85,8.1,20.56,7.2,13.51,2.13,1.47,4.58,3.1,3.51,2.52
-37.82549,144.98161,2016,11,4,56.85,7.65,24.4,8.81,16.24,3.74,2.28,14.02,9.72,10.43,7.33
-37.82549,144.98161,2016,11,5,62.35,4.5,15.58,8.25,11.46,9.02,5.66,12.88,10.29,10.85,8.07
-37.82549,144.98161,2016,11,6,66.45,8.12,19.78,9.31,14.34,5.11,3.34,9.83,7.3,7.84,5.39
-37.82549,144.98161,2016,11,7,65.77,9.38,21.27,10.3,15.8,4.37,3.24,13.34,9.59,8.45,5.99
-37.82549,144.98161,2016,11,8,68.04,6.45,17.68,7.85,12.2,3.98,2.75,5.76,4.55,4.78,3.72
-37.82549,144.98161,2016,11,9,71.94,7.64,18.74,7.74,12.54,2.68,2.54,6.28,5.19,4.35,3.41
-37.82549,144.98161,2016,11,10,70.11,7.34,18.26,8.38,12.62,3.09,2.48,5.74,4.71,4.22,3.22
-37.82549,144.98161,2016,11,11,68.52,8.49,22.38,7.02,14.25,0.53,0.89,5.61,4.89,3.02,2.49
-37.82549,144.98161,2016,11,12,71.56,10.87,22.41,11.33,16.1,3.94,2.15,12.91,9.89,8.85,6.32
-37.82549,144.98161,2016,11,13,81.73,9.17,15.82,10.02,12.22,3.27,2.57,11.06,8.7,8.66,6.52
-37.82549,144.98161,2016,11,14,75.06,7.91,16.07,9.48,12.25,6.52,3.85,11.43,9.1,9.55,7.36
-37.82549,144.98161,2016,11,15,75.94,9.29,19.06,8.34,13.45,4.86,2.8,6.73,5.65,5.91,4.24
-37.82549,144.98161,2016,11,16,74.7,10.27,21.09,9.99,14.71,2.44,1.85,5.05,3.23,3.51,2.53
-37.82549,144.98161,2016,11,17,55.81,10.92,28.26,9.89,20.04,2.69,1.73,10.99,8.32,8.17,5.35
-37.82549,144.98161,2016,11,18,74.46,11.94,21.49,10.81,16.53,1.83,1.71,6.13,4.71,4.07,3.13
-37.82549,144.98161,2016,11,19,63.26,8.06,22.42,9.26,15.02,3.09,2.47,5.3,3.81,3.95,3.13
-37.82549,144.98161,2016,11,20,56.54,11.89,31.69,10.32,21.07,1.62,1.39,8.63,5.3,4.33,2.93
-37.82549,144.98161,2016,11,21,59.39,15.9,32.87,16.92,24.37,4.91,2.8,13.39,9.75,9.88,6.97
-37.82549,144.98161,2016,11,22,84.37,11.26,15.37,11.26,13.9,0.97,0.82,5.07,4.06,2.7,2.19
-37.82549,144.98161,2016,11,23,73.84,7.02,14.74,9.3,11.67,3.15,2.26,9.8,8.17,7.28,5.67
-37.82549,144.98161,2016,11,24,68.46,7.08,18.45,8.99,12.8,5.74,3.28,7.18,6.11,6.65,5.06
-37.82549,144.98161,2016,11,25,67.22,6.65,17.08,8.74,12.57,5.74,3.57,8.3,6.77,7.29,5.43
-37.82549,144.98161,2016,11,26,70.57,8.05,18.17,9.4,13.27,5.64,3.29,7.37,6.19,6.6,4.98
-37.82549,144.98161,2016,11,27,74.05,9.21,19.3,9.46,13.78,3.82,2.62,5.52,4.44,4.59,3.62
-37.82549,144.98161,2016,11,28,69.13,9.21,21.73,10.58,14.83,2.18,2.02,4.88,4.43,3.63,2.91
-37.82549,144.98161,2016,11,29,67.51,9.13,22.65,10.56,15.09,1.52,1.76,6.38,5.56,3.83,3.24
-37.82549,144.98161,2016,11,30,75.41,10.45,20.54,10.31,14.76,3.96,2.72,5.66,4.62,4.79,3.93
-37.82549,144.98161,2016,12,1,61.64,9.58,25.5,11.27,17.04,0.98,0.93,4.57,2.99,2.96,2.11
-37.82549,144.98161,2016,12,2,64.49,8.64,21.86,9.9,15.34,3.12,2.07,7.13,5.54,4.59,3.7
-37.82549,144.98161,2016,12,3,57.77,7.44,24.61,8.96,15.78,0.93,0.99,5.84,4.32,3.54,2.68
-37.82549,144.98161,2016,12,4,62,13.65,32.45,11.52,21.63,2.43,1.58,12.05,8.67,8.04,5.66
-37.82549,144.98161,2016,12,5,64.96,10.97,23.32,11.91,18.26,4.79,3.46,10.44,7.33,6.55,5.32
-37.82549,144.98161,2016,12,6,61.15,7.63,21.97,10.31,15.08,3.09,2.07,5.54,4.93,4.1,3.27
-37.82549,144.98161,2016,12,7,45.1,6.11,27.15,9.61,18.45,0.75,0.67,10.52,6.16,3.83,2.43
-37.82549,144.98161,2016,12,8,57.87,8.83,22.62,10.21,17.33,10.38,7.06,15.28,11.45,12.79,9.63
-37.82549,144.98161,2016,12,9,64.94,6.12,17.03,8.33,12.56,4.92,2.94,10.24,8.22,8.31,6.42
-37.82549,144.98161,2016,12,10,63.83,7.68,20.95,9.16,14.45,2.29,2.15,6.36,5.67,4.41,3.44
-37.82549,144.98161,2016,12,11,64.09,8.34,21.63,10.27,15.07,3.12,2.51,5.95,5.06,4.47,3.53
-37.82549,144.98161,2016,12,12,42.62,7.68,31.32,9.34,21.03,2.1,1.43,8.58,5.31,4.99,3.38
-37.82549,144.98161,2016,12,13,39.39,9.45,33.12,17.74,24.65,5.96,3.12,16.43,11.82,10.87,7.13
-37.82549,144.98161,2016,12,14,56.55,6.88,20.62,10.87,15.9,6.69,3.88,8.7,6.66,7.46,5.83
-37.82549,144.98161,2016,12,15,58.15,5.86,19.73,9.99,14.01,5.85,3.96,7.36,6.78,6.83,5.52
-37.82549,144.98161,2016,12,16,67.06,11.37,25.1,9.3,17.76,1.48,0.98,5.51,4.09,3.54,2.49
-37.82549,144.98161,2016,12,17,58.3,6.24,19.93,9.33,15.01,3.21,1.98,11.51,9.72,8.25,6.36
-37.82549,144.98161,2016,12,18,55.68,4.13,18.74,7.54,12.86,4.42,2.62,6.46,5.78,5.76,4.37
-37.82549,144.98161,2016,12,19,38.88,4.5,27.78,8.37,19.01,1.33,0.91,11.3,8.7,7.9,5.48
-37.82549,144.98161,2016,12,20,55.34,7.93,22.22,12.4,17.23,3.96,2.62,10.25,6.7,6.41,4.72
-37.82549,144.98161,2016,12,21,64.61,8.54,20.62,10.22,15.16,5.8,3.61,7.47,6.22,6.65,5.23
-37.82549,144.98161,2016,12,22,65.53,10.1,23.41,11.51,16.58,4.37,3,6.22,5.7,5.38,4.38
-37.82549,144.98161,2016,12,23,49.99,10.21,32.49,11.12,21.22,0.53,0.5,4.49,3.4,2.89,2.1
-37.82549,144.98161,2016,12,24,41.17,11.3,34.57,16.46,25.65,0.31,0.27,7.14,5.75,4.13,3.01
-37.82549,144.98161,2016,12,25,43.02,12.59,34.66,16.09,26.22,0.77,0.57,10.01,6.11,6.08,4.2
-37.82549,144.98161,2016,12,26,62.56,14.47,26.1,16.3,22.01,1.66,1.87,10.27,7.16,5.68,4.15
-37.82549,144.98161,2016,12,27,75.16,17.69,28.18,15.76,22.22,1.07,0.95,7.34,4.69,4.36,3.12
-37.82549,144.98161,2016,12,28,56.76,17.69,32.4,21.93,27.09,3.1,1.39,18.82,14.18,11.6,7.85
-37.82549,144.98161,2016,12,29,71.27,20.65,33.36,21.08,26.31,1.63,0.82,8.78,6.76,4.97,3.5
-37.82549,144.98161,2016,12,30,64.03,15.09,28.98,15.64,22.44,3.11,1.48,8.79,6.88,5.31,3.89
-37.82549,144.98161,2016,12,31,61.72,11.89,27.12,14.15,19.5,2.39,1.66,5.5,4.48,3.46,2.92
-37.82549,144.98161,2017,1,1,72.5,12.57,23.05,13.75,17.56,1.16,1.19,7.56,6.15,4.7,3.92
-37.82549,144.98161,2017,1,2,70.98,10.37,20.29,12.76,15.63,6.83,5.06,8.96,7.54,7.98,6.52
-37.82549,144.98161,2017,1,3,64.73,9.83,22.03,12.66,16.51,5.1,3.44,6.74,5.6,5.7,4.6
-37.82549,144.98161,2017,1,4,59.65,13.09,30.93,12.42,21.35,1.45,1.07,5.31,3.89,3.54,2.53
-37.82549,144.98161,2017,1,5,56.92,14.98,32.33,18.13,24.1,0.34,0.55,6.26,4.88,3.49,2.61
-37.82549,144.98161,2017,1,6,51.4,14.25,33.72,16.6,25.04,0.33,0.11,5.69,4.45,2.83,2.03
-37.82549,144.98161,2017,1,7,40.72,13.23,35.8,19.59,27.92,3.77,2.43,9.91,6.37,6.31,4.18
-37.82549,144.98161,2017,1,8,49.53,14.52,33.35,16.34,25.94,4.93,3.26,10.89,6.88,6.73,5.01
-37.82549,144.98161,2017,1,9,64.98,12.68,23.81,15.61,19.5,0.68,0.39,4.85,4.1,2.58,2.17
-37.82549,144.98161,2017,1,10,58.99,13.08,31.5,14.61,21.46,0.43,0.27,5.69,4.52,3.07,2.43
-37.82549,144.98161,2017,1,11,59.28,10.81,26.06,13.79,18.96,3.83,2.77,7.11,6.42,5.66,4.65
-37.82549,144.98161,2017,1,12,45.65,7.53,28.71,11.77,20,1.48,1.95,5.41,2.9,2.9,2.29
-37.82549,144.98161,2017,1,13,50.79,10.08,29.65,13.96,21.2,5.93,3.41,17.18,12.56,9.48,6.62
-37.82549,144.98161,2017,1,14,59.26,8.77,21.8,12.54,16.79,7,4.48,11.05,8.94,9.48,7.18
-37.82549,144.98161,2017,1,15,59.75,9.33,24.16,12.52,17.26,3.96,2.7,6.69,5.1,5.04,3.97
-37.82549,144.98161,2017,1,16,42.97,8.86,33.28,11.69,22.32,1.29,0.84,4.97,3.83,3.18,2.2
-37.82549,144.98161,2017,1,17,33.88,8.01,36.4,17.92,25.88,4.02,2.43,9.68,7.32,6.93,5.02
-37.82549,144.98161,2017,1,18,60.48,8.89,21.15,12.06,16.92,3.43,2.36,9.55,7.73,7.6,6.22
-37.82549,144.98161,2017,1,19,45.8,5.82,26.25,10.15,18,1.87,1.33,6.59,4.61,4.11,3.14
-37.82549,144.98161,2017,1,20,71.31,12.1,21.44,13.42,17.54,0.55,0.47,14.55,12.07,9.02,7.02
-37.82549,144.98161,2017,1,21,61.23,9.39,22.62,12.95,16.96,5.07,2.98,7.44,5.57,5.89,4.65
-37.82549,144.98161,2017,1,22,53.67,10.64,30.19,11.55,20.55,1.17,0.88,5.02,3.58,2.87,2.17
-37.82549,144.98161,2017,1,23,44.33,12.33,35.73,17.86,25.73,1.85,1.02,8.08,6.25,5.52,3.93
-37.82549,144.98161,2017,1,24,62.55,10.87,22.92,12.91,18.76,4.18,3.1,9.64,7.83,7.9,6.21
-37.82549,144.98161,2017,1,25,56.38,7.94,23.61,10.78,16.79,4.06,2.75,6.57,5.77,5.36,4.14
-37.82549,144.98161,2017,1,26,69.03,11.64,23.42,12.72,17.38,4.91,3.02,6.76,6,5.77,4.56
-37.82549,144.98161,2017,1,27,59.14,11.53,28.75,13.52,19.87,0.76,1.15,5.02,3.9,3.41,2.7
-37.82549,144.98161,2017,1,28,56.15,11.95,30.9,14.29,21.24,0.62,0.57,6.58,5.84,4.05,3.34
-37.82549,144.98161,2017,1,29,55.31,11.67,30.93,14.09,21.25,0.76,0.44,4.75,3.5,2.95,2.42
-37.82549,144.98161,2017,1,30,54.25,13.46,30.4,16.28,23.67,3.01,1.66,11.96,8.62,8.05,5.55
-37.82549,144.98161,2017,1,31,59.76,9.47,23.93,13.32,17.57,4.84,3.03,7.17,6.32,5.8,4.78
-37.82549,144.98161,2017,2,1,54.33,7.71,23.64,11.84,17.08,0.57,0.61,4.52,3.6,3.44,2.49
-37.82549,144.98161,2017,2,2,57.01,9.54,25.35,11.91,18.3,2.83,1.68,5.92,4.86,4.69,3.56
-37.82549,144.98161,2017,2,3,52.47,9.33,28.51,12.48,19.62,2,1.37,4.93,3.56,3.06,2.38
-37.82549,144.98161,2017,2,4,43.86,10.47,34.11,13.68,23.9,0.44,0.33,8.61,6.66,4.13,3.14
-37.82549,144.98161,2017,2,5,78.17,18.38,27.25,18.12,22.47,1.09,0.73,10.75,8.23,6.61,4.76
-37.82549,144.98161,2017,2,6,77.3,10.92,17.86,12,15.08,6.63,4.89,8.78,6.83,7.6,5.91
-37.82549,144.98161,2017,2,7,67.07,12.12,26.57,11,18.56,4.86,3.84,7.88,5.68,6.45,4.64
-37.82549,144.98161,2017,2,8,54.65,15.29,33.83,15.15,25.07,5,2.91,10.03,7.49,7.63,5.13
-37.82549,144.98161,2017,2,9,58.82,17.56,36.91,17.64,26.34,4.79,3.86,11.75,8.86,8.75,6.73
-37.82549,144.98161,2017,2,10,69.03,16.65,30.69,16.85,22.68,2.54,2.49,5.28,4.38,3.81,3.33
-37.82549,144.98161,2017,2,11,65.53,14.3,27.61,15.03,21.08,1.14,0.8,6.73,5.9,4.79,4.05
-37.82549,144.98161,2017,2,12,61.88,7.74,19.94,12.22,15.25,5.92,4.65,11.64,9.67,9.17,7.16
-37.82549,144.98161,2017,2,13,73.24,10.41,18.44,11.82,15.22,6.71,4.27,10.29,8.28,8.45,6.29
-37.82549,144.98161,2017,2,14,70.5,10.25,20.88,10.96,15.61,3.54,2.19,6.62,5.31,5.56,4.26
-37.82549,144.98161,2017,2,15,50.31,8.92,29.89,9.3,19.83,2.1,1.36,10.53,8.19,6.35,4.72
-37.82549,144.98161,2017,2,16,68.09,13.01,27.38,13.74,19.04,0.94,1.07,5.38,4.55,4.02,3.28
-37.82549,144.98161,2017,2,17,61.15,10.17,25.04,12.99,17.88,2.16,1.59,7.21,5.69,4.71,3.84
-37.82549,144.98161,2017,2,18,59.23,6.43,19.08,10.51,14.42,4.48,2.55,6.5,5.5,5.73,4.34
-37.82549,144.98161,2017,2,19,72.9,7.33,15.23,8.95,12.1,6.26,3.73,9.24,7.52,7.89,5.77
-37.82549,144.98161,2017,2,20,69.64,8.45,19.48,9.52,13.98,5.76,3.27,9.3,7.63,7.59,5.5
-37.82549,144.98161,2017,2,21,55.32,7.17,24.33,9.14,16.41,0.46,0.77,5.73,3.27,2.83,2.02
-37.82549,144.98161,2017,2,22,36.91,5.97,30.82,12.23,21.63,3.78,2.46,11.76,8.92,8.81,5.76
-37.82549,144.98161,2017,2,23,60.07,11.92,26.91,15.1,19.96,3.84,2.51,7.72,6.01,5.18,3.99
-37.82549,144.98161,2017,2,24,68.08,10.12,20.66,13.24,16.08,5.59,3.93,8.58,7.54,6.99,5.51
-37.82549,144.98161,2017,2,25,63.68,8.58,20.13,11.57,15.62,6.29,3.6,8.45,6.93,7.57,5.7
-37.82549,144.98161,2017,2,26,61.59,12.33,28.68,11.91,19.97,0.88,0.79,6.75,4.32,4.51,3.03
-37.82549,144.98161,2017,2,27,48.18,11.21,31.61,14.78,22.84,0.93,0.86,8.16,6.58,4.59,3.11
-37.82549,144.98161,2017,2,28,43.62,10.51,32.57,16.21,23.82,0.35,0.4,7.11,4.91,4.25,2.88
-37.82549,144.98161,2017,3,1,41.17,9.1,31.69,17.12,23.46,1.35,0.91,6.97,5.76,3.6,2.65
-37.82549,144.98161,2017,3,2,61.84,12.57,27.72,15.32,20.51,0.91,0.52,7.75,6.69,4.22,3.4
-37.82549,144.98161,2017,3,3,71.37,15.5,27.38,16.44,20.9,4.84,3.21,8.09,6.81,6.23,4.79
-37.82549,144.98161,2017,3,4,66.41,14.88,29.33,15.18,21.44,0.31,0.21,5.97,4.93,3.84,2.95
-37.82549,144.98161,2017,3,5,74.58,15.04,25.68,16.1,19.73,4.73,2.88,8.83,7.64,6.42,5.11
-37.82549,144.98161,2017,3,6,64.23,12.49,26.19,15.04,19.52,5.9,4.36,9.04,7.51,7.14,5.49
-37.82549,144.98161,2017,3,7,54.72,9.65,27.32,12.42,19.28,2.02,2.12,7.29,5.16,5.27,3.85
-37.82549,144.98161,2017,3,8,47.11,9.14,30.2,12.54,21.04,0.51,0.31,6.78,5.01,4.43,2.97
-37.82549,144.98161,2017,3,9,39.48,8.06,31.81,14.57,22.88,0.69,0.53,6.2,3.96,3.57,2.45
-37.82549,144.98161,2017,3,10,52.53,10.98,29.34,16.04,21.44,0.86,0.55,5.54,4.72,3.49,2.79
-37.82549,144.98161,2017,3,11,57.48,12.32,30.86,15.21,21.34,1.72,1.31,7.12,5.58,3.6,2.78
-37.82549,144.98161,2017,3,12,59.02,12.02,29.01,15.7,20.58,1.47,0.69,10.39,8.11,5.47,3.94
-37.82549,144.98161,2017,3,13,63.2,13.35,28.28,16.39,20.77,0.94,0.5,7.72,6.72,3.59,2.9
-37.82549,144.98161,2017,3,14,49.87,11.67,32.61,15.03,23.22,1.88,1.17,4.49,3.4,3.41,2.35
-37.82549,144.98161,2017,3,15,46.74,13.01,31.57,19.09,25.25,5.28,2.67,10.37,8,8.54,5.6
-37.82549,144.98161,2017,3,16,61.01,13.43,26.77,15.3,21.48,4.51,3.53,9.74,7.21,7.43,5.61
-37.82549,144.98161,2017,3,17,56.64,8.52,23.32,13.85,17.5,5.36,3.26,8.68,6.9,7.16,5.5
-37.82549,144.98161,2017,3,18,47.34,9.21,31.08,11.98,21.07,0.65,0.54,5.13,3.67,3.64,2.39
-37.82549,144.98161,2017,3,19,39.71,9.01,32.95,15.57,23.7,0.76,0.81,6.47,4.69,4.16,2.74
-37.82549,144.98161,2017,3,20,69,16.11,28.17,18.95,22.33,1.07,0.66,5.77,4.52,3.51,2.51
-37.82549,144.98161,2017,3,21,84.51,18.6,25.61,18.56,21.31,0.43,0.35,3.24,2.23,1.98,1.36
-37.82549,144.98161,2017,3,22,83.05,15.41,21.79,15.04,18.39,4.04,2.48,9.62,7.98,7.72,5.98
-37.82549,144.98161,2017,3,23,69.82,12.17,23.78,13.43,17.74,5.54,3.56,7.66,6.18,6.79,4.99
