Month,Day,TOTALDEMAND,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
4,10,199690.69,2016,68.9,10,21.87,10.97,15.72,6.02,3.52,8.71,7.1,7.2,4.9
4,11,237228.01,2016,78.57,11.35,19.36,12.4,15.05,4.95,2.7,7.61,6.2,6.18,4.28
4,12,247617.52,2016,80.36,10.87,17.76,11.81,14.21,5.04,2.75,5.8,4.82,5.39,3.68
4,13,249373.26,2016,77.61,10.26,19.8,10.67,14.11,2.15,2.27,6.25,4.36,4.44,3.15
4,14,253038.13,2016,66.29,9.7,23.89,10.7,16.06,1.22,0.84,7.25,5.46,3.87,2.6
4,15,249442.97,2016,57.87,9.15,25.86,12.22,17.73,1.44,0.96,6.43,5,4.25,2.92
4,16,217051.93,2016,82.15,11.19,19.32,11.22,14.22,2.55,1.6,7.7,6.41,5.13,3.99
4,17,201052.61,2016,69.22,7.66,18.43,10.44,13.22,3.71,2.39,7.62,6.03,6.3,4.47
4,18,246883.64,2016,69.04,10.25,23.82,9.04,15.95,2.76,1.98,7.69,6.11,5.03,3.45
4,19,253692.89,2016,57.68,8.81,24.69,11.69,17.38,4.62,2.69,7.32,5.66,6.01,3.85
4,20,250409.57,2016,53.11,9.13,26.39,13.33,18.95,5.11,2.9,8.45,5.82,7.03,4.38
4,21,251028.28,2016,69.74,11.95,22.79,13.68,17.7,3.68,2.92,9.76,6.01,6.7,4.71
4,22,240248.61,2016,73.46,8.56,16.69,11.62,13.38,6.4,4.17,8.19,6.84,7.48,5.52
4,23,217547.49,2016,76.03,9.26,17.33,10.11,13.42,4.6,2.78,7.01,5.89,6.05,4.19
4,24,211284.56,2016,70.57,8.27,20.72,9.47,13.55,0.27,0.18,5.09,3.08,2.6,1.75
4,25,208144.87,2016,59.4,7.1,23.42,8.75,15.01,2.27,1.58,7.53,5.94,5.86,3.83
4,26,234875.33,2016,53.19,6.22,23.61,9.74,15.83,6.02,3.72,8.75,6.75,7.48,4.67
4,27,237063,2016,48.9,6.98,24.2,12.37,17.97,8.59,4.94,13.43,10.25,10.8,7.21
4,28,253694.04,2016,54.61,9.85,25.36,15.47,19.38,1.05,0.44,11.25,7.15,6.85,4.51
4,29,244108.26,2016,80.3,13.08,18.53,14.94,16.59,5.31,3.37,10.19,6.93,7.57,4.82
4,30,207010.39,2016,76.14,13.13,22.27,14.11,17.43,6.57,3.69,10.9,8.19,8.77,5.76
5,1,193253.75,2016,76.16,8.28,15.77,7.72,12.69,6.42,3.8,13.49,10.6,10.14,7.33
5,2,233939.26,2016,62.25,4.52,16.68,6.53,11.53,6.55,3.84,13.22,10.03,10.03,7.18
5,3,238028.89,2016,72.75,8.08,16.64,8.66,12.98,8.03,4.61,16.45,12.97,12.55,9.18
5,4,249050.37,2016,67.16,5.29,16.73,6.16,11.22,5.36,3.68,8.45,6.74,7.39,4.99
5,5,236384.11,2016,68.2,8.09,19.5,8.66,13.85,7.77,4.87,12.69,9.97,10.02,7.02
5,6,240842.64,2016,65.92,9.11,23.14,10.42,15.51,0.47,0.15,10.52,7.15,6.75,4.78
5,7,212105.28,2016,59.74,7.84,23.62,10.9,15.7,5.14,2.7,9.19,6.94,7.51,4.69
5,8,206974.56,2016,84.33,11.76,15.61,13.29,14.56,5.87,3.66,8.53,5.66,7.05,4.6
5,9,239562.27,2016,82.27,12.36,17.29,13.36,15.64,8.28,5.51,16.63,12.4,11.41,8.22
5,10,239223.76,2016,72.75,8.28,16.29,10.79,13.31,9.56,6.43,14.47,10.83,11.7,8.57
5,11,247232.56,2016,80.62,8.95,14.32,9.48,12.22,8.43,5.53,12.87,9.91,11.09,7.93
5,12,241387.06,2016,78.62,12.11,20.05,13.6,15.81,8.88,5.49,12.53,8.94,10.63,7.42
5,13,237600.14,2016,71.22,9.61,20.34,11.18,14.79,6.4,3.41,8.86,6.42,7.76,5.06
5,14,203891.99,2016,69.39,8.42,20.76,9.53,13.97,7.83,4.5,10.73,8.1,8.93,6.07
5,15,199395.24,2016,70.99,7.81,19.09,9.04,13.01,3.14,2.18,10,7.8,7.77,5.43
5,16,242365.39,2016,79.45,9.13,19.1,6.27,12.7,1.9,1.36,12.94,9.48,8.47,6.09
5,17,248418.81,2016,72.78,8.06,17.21,10,12.86,3.23,2.1,10.22,6.82,7.01,4.71
5,18,248704.43,2016,71.5,7.22,17.26,8.24,12.23,3.27,2.11,8.24,6.15,6.51,4.31
5,19,248784.58,2016,81.33,10.36,17.17,10.44,13.52,7.45,4.35,11.99,9.21,9.6,6.75
5,20,255411.68,2016,77.19,8.53,16.38,9.56,12.45,0.72,0.56,6.87,3.97,3.86,2.56
5,21,224673.56,2016,80.14,8.47,16.63,8.26,11.79,3.4,2.29,7.76,5.54,5.87,3.82
5,22,203237.96,2016,66.68,7.87,19.19,9.02,13.98,7.96,4.82,13.42,10.38,10.63,7.39
5,23,242848.84,2016,76.39,7.72,14.67,9.27,11.91,6.69,3.75,11.44,8.98,9.3,6.46
5,24,263832.81,2016,79.24,7.68,15.46,8.3,11.17,0.62,0.39,7.21,4.84,4.91,3.26
5,25,264340.1,2016,75.78,6.51,15.09,8.15,10.7,5.02,2.98,11.7,9.15,9.12,6.56
5,26,274161.75,2016,89.51,7.18,11.23,6,8.85,4.87,3.25,10.14,7.47,7.07,4.83
5,27,268635.24,2016,82.91,5.75,12.47,5.82,8.53,1.26,0.92,7.19,4.67,4.71,3.19
5,28,239877.59,2016,83.68,5.96,12.07,5.43,8.6,2.1,1.43,8.75,7.08,6.65,4.42
5,29,237503.93,2016,80.54,5.84,11.72,7.1,9.04,1.36,1,7.11,4.24,4.43,2.94
5,30,269967.91,2016,69.34,3.95,13.82,5.91,9.35,0.15,0.07,2.29,1.95,1.69,1.27
5,31,280804.3,2016,68.12,2.88,15.46,2.11,8.52,1.38,0.9,3.82,3.05,2.69,1.95
6,1,276790.66,2016,74.94,5.42,15.69,5.32,9.72,1.91,1.32,3.67,2.44,2.52,1.81
6,2,282585.12,2016,85.29,7.15,15.19,6.77,9.55,0.18,0.16,4.38,2.63,1.95,1.39
